round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail,section,candidate_id,prediction,observed,uncertainty_std,absolute_error,nominal_coverage,empirical_coverage,interval_width,coverage_lower,coverage_upper,binary_outcome,signed_error,batch_id,viability_percent,intact_patch_formation_pass
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_000708,58.75409897162861,28.365,23.046276903959168,30.38909897162861,,,90.34140546351993,,,,30.38909897162861,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_000776,58.77957479919056,35.825,23.980608131410815,22.95457479919056,,,94.00398387513039,,,,22.95457479919056,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_001804,61.259400717629525,10.1075,22.681527140037726,51.15190071762952,,,88.91158638894788,,,,51.15190071762952,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_001254,60.70502243687755,0.69,23.12024088265788,60.01502243687755,,,90.63134426001888,,,,60.01502243687755,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_001144,60.223399208893625,40.4675,23.426055547128605,19.755899208893624,,,91.83013774474414,,,,19.755899208893624,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_000866,60.54920868100531,30.2175,22.335355531590707,30.33170868100531,,,87.55459368383558,,,,30.33170868100531,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_001721,59.675896243424894,1.3325,23.692256077157737,58.34339624342489,,,92.87364382245832,,,,58.34339624342489,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,rescue_000003,59.502151753493344,53.3425,7.003852076147249,6.159651753493343,,,27.455100138497215,,,,6.159651753493343,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,rescue_000001,40.16970249195592,9.2925,12.393000906289316,30.877202491955916,,,48.58056355265412,,,,30.877202491955916,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_000731,68.46280394716243,59.182500000000005,7.843378514314983,9.280303947162423,,,30.746043776114732,,,,9.280303947162423,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_000302,56.99243953767547,1.3650000000000002,24.26243253904828,55.62743953767547,,,95.10873555306925,,,,55.62743953767547,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_000137,55.5562245742118,22.145000000000003,24.210561114517585,33.41122457421179,,,94.90539956890893,,,,33.41122457421179,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_000566,63.20929464398577,48.3325,13.527834211553865,14.876794643985775,,,53.029110109291146,,,,14.876794643985768,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_000268,55.97962349248062,19.355,23.796093807439593,36.62462349248062,,,93.2806877251632,,,,36.62462349248062,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_000806,57.30696101641415,31.85,24.28745112122454,25.456961016414148,,,95.20680839520018,,,,25.456961016414148,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_000807,57.30696101641415,25.5225,24.28745112122454,31.78446101641415,,,95.20680839520018,,,,31.78446101641415,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_000810,57.30696101641415,6.93,24.28745112122454,50.37696101641415,,,95.20680839520018,,,,50.37696101641415,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_001520,57.30696101641415,31.494999999999997,24.28745112122454,25.811961016414152,,,95.20680839520018,,,,25.811961016414152,,,
ROUND_005,,,,viability_prediction,,,,,,,,trust,cand_001526,57.30696101641415,11.912499999999998,24.28745112122454,45.394461016414155,,,95.20680839520018,,,,45.394461016414155,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,retest_v2_88865d95334d,1.4444992067671194,15.755,0.9988972145863833,14.31050079323288,,,3.915677081178622,,,,-14.310500793232881,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,retest_v2_d9aaefea702e,9.468709286190595,28.4675,0.996690962070636,18.99879071380941,,,3.9070285713168933,,,,-18.998790713809406,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,rescue_000009,65.12864501919591,48.99250000000001,11.04426839504023,16.136145019195908,,,43.293532108557706,,,,16.136145019195908,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,rescue_000026,66.33954348174896,53.712500000000006,3.091048919113526,12.627043481748956,,,12.116911762925021,,,,12.627043481748956,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,cand_000388,56.078633246607154,40.6125,24.71787912821978,15.466133246607155,,,96.89408618262154,,,,15.466133246607157,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,cand_000599,53.71104413417668,6.817499999999999,24.59404247216249,46.89354413417668,,,96.40864649087695,,,,46.89354413417668,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,cand_000452,66.59621942113174,40.18,5.566915856512772,26.416219421131736,,,21.822310157530065,,,,26.416219421131736,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,cand_001218,54.51751704270245,24.755000000000003,24.68740406206245,29.76251704270245,,,96.77462392328479,,,,29.76251704270245,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,cand_000842,56.298833180708186,8.025,24.71832313295539,48.27383318070819,,,96.89582668118513,,,,48.27383318070819,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,cand_000858,56.298833180708186,10.6,24.71832313295539,45.698833180708185,,,96.89582668118513,,,,45.698833180708185,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,cand_001700,56.29883318067364,8.125,24.71832313295539,48.17383318067364,,,96.89582668118513,,,,48.17383318067364,,,
ROUND_006,,,,viability_prediction,,,,,,,,trust,cand_001749,56.29510059337852,10.96,24.71832306905,45.33510059337852,,,96.895826430676,,,,45.33510059337852,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,retest_v2_6fb2fa9dc5d5,57.35519035795547,49.370000000000005,0.976564839353124,7.985190357955467,,,3.828134170264246,,,,7.985190357955467,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,retest_v2_e579d58c9088,8.199635037081883,13.4225,0.9992085075820124,5.222864962918116,,,3.9168973497214887,,,,-5.222864962918116,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,rescue_000002,24.045745669093986,24.2275,7.8081176210390115,0.1817543309060134,,,30.607821074472923,,,,-0.18175433090601345,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,rescue_000005,16.3855151477282,21.47,5.704083126348067,5.0844848522718,,,22.36000585528442,,,,-5.0844848522718,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,cand_000497,72.85715982015662,48.9975,5.9533368640388895,23.859659820156622,,,23.337080507032447,,,,23.859659820156622,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,cand_000249,53.46533855803599,50.095,25.010699673369164,3.3703385580359893,,,98.04194271960712,,,,3.3703385580359893,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,cand_000331,63.3870256023835,57.5075,11.763423399579231,5.879525602383502,,,46.11261972635059,,,,5.879525602383502,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,cand_001166,55.29184909143825,12.6675,25.11907820259103,42.62434909143825,,,98.46678655415684,,,,42.62434909143825,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,cand_000813,55.2919621749409,8.127500000000001,25.11907820264258,47.164462174940894,,,98.46678655435892,,,,47.164462174940894,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,cand_001453,55.291873173485136,13.4975,25.119078202614,41.79437317348514,,,98.46678655424687,,,,41.794373173485134,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,cand_001508,55.27171453577056,21.485,25.119074167629854,33.786714535770564,,,98.46677073710903,,,,33.786714535770564,,,
ROUND_007,,,,viability_prediction,,,,,,,,trust,cand_001571,55.2919621749409,5.9925,25.11907820264258,49.2994621749409,,,98.46678655435892,,,,49.2994621749409,,,
ROUND_008,,,,viability_prediction,,,,,,,,trust,retest_v2_6f20e63adb1d,49.67163459702838,26.3825,0.9858502233274996,23.28913459702838,,,3.8645328754437984,,,,23.28913459702838,,,
ROUND_008,,,,viability_prediction,,,,,,,,trust,retest_v2_445849cbfa02,11.027258208389108,23.5725,0.9992257742484612,12.54524179161089,,,3.9169650350539675,,,,-12.545241791610893,,,
